comparison,comparison_label,gene,pval,FDR,LFC,direction
Spost_vs_S0,Sensitive: Post vs Day-0,CYP2E1,0.038477,0.500195,-13.533,Depleted
Spost_vs_S0,Sensitive: Post vs Day-0,NAT2,0.038477,0.500195,5.5729,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,ASL,0.0023899,0.4254,-11.543,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,GBA3,0.013207,0.769445,-8.7979,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,TRPM7,0.03017,0.769445,-3.0951,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,ATP6V0A4,0.019154,0.769445,-7.2675,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,TPCN1,0.024223,0.769445,-6.6834,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,HSD11B1,0.029891,0.769445,-5.683,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,ALOXE3,0.03508,0.769445,-4.8021,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,CYB5A,0.043392,0.769445,-4.1507,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,DHRSX,0.043392,0.769445,-4.1507,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,SLC44A1,0.046076,0.911289,7.8407,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,SLC6A3,0.040249,0.895537,9.3197,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,SLC25A15,0.03508,0.892032,9.6273,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,PFKFB1,0.029891,0.886767,9.7893,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,GRIN1,0.024223,0.862345,10.35,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,ARSD,0.019154,0.852353,10.378,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,RRM2,0.013207,0.7836,10.933,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,SLC1A1,0.0076985,0.685169,11.422,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,PLA2G4E,0.0023899,0.4254,12.27,Enriched
Spost_vs_Rpost,Sensitive vs Resistant (Post),PLA2G4E,0.0026097,0.427987,-12.101,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),SLC1A1,0.008328,0.682897,-11.252,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),RRM2,0.014495,0.792417,-10.764,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),ARSD,0.020753,0.850859,-10.209,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),GRIN1,0.026521,0.869885,-10.181,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),PFKFB1,0.032399,0.88557,-9.6203,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),SLC25A15,0.038327,0.897942,-9.4584,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),SLC6A3,0.044255,0.907222,-9.151,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),NAT2,0.0060926,0.635786,1.6146,Enriched
Spost_vs_Rpost,Sensitive vs Resistant (Post),TECR,0.040832,0.635786,-0.81382,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),TKTL1,0.035233,0.635786,-0.29171,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),APOC1,0.035233,0.635786,-0.29171,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),CYB5A,0.026521,0.635786,0.28414,Enriched
Spost_vs_Rpost,Sensitive vs Resistant (Post),SLC25A20,0.014495,0.635786,1.2299,Enriched
Spost_vs_Rpost,Sensitive vs Resistant (Post),ALOX15,0.008328,0.635786,2.3734,Enriched
