comparison,comparison_label,gene,pval,FDR,LFC,direction
Spost_vs_S0,Sensitive: Post vs Day-0,CYP2E1,0.027878,0.5018,-13.629,Depleted
Spost_vs_S0,Sensitive: Post vs Day-0,NAT2,0.027878,0.5018,6.6693,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,ASL,0.0022668,0.4375,-10.623,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,GBA3,0.012221,0.793454,-8.4869,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,TRPM7,0.027745,0.793454,-3.013,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,ATP6V0A4,0.017542,0.793454,-6.8688,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,TPCN1,0.022484,0.793454,-6.3207,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,HSD11B1,0.027287,0.793454,-5.2517,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,CYB5A,0.032169,0.793454,-4.3451,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,ALOXE3,0.037211,0.793454,-4.3443,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,MTF1,0.042133,0.793454,-6.8993,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,DHRSX,0.047235,0.793454,-3.7952,Depleted
Rpost_vs_R0,Resistant: Post vs Day-0,CERS5,0.047235,0.873505,7.097,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,SLC44A1,0.042133,0.873505,7.4977,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,SLC6A3,0.037211,0.873505,8.9005,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,SLC25A15,0.032169,0.873505,9.1316,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,PFKFB1,0.027287,0.873505,9.4055,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,RRM2,0.022484,0.867885,9.8499,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,GRIN1,0.017542,0.846394,10.019,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,ARSD,0.012221,0.786218,10.135,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,SLC1A1,0.0070994,0.685096,11.036,Enriched
Rpost_vs_R0,Resistant: Post vs Day-0,PLA2G4E,0.0022668,0.4375,11.934,Enriched
Spost_vs_Rpost,Sensitive vs Resistant (Post),PLA2G4E,0.0023302,0.438086,-11.869,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),SLC1A1,0.0072801,0.684334,-10.972,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),ARSD,0.012579,0.788305,-10.071,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),GRIN1,0.017948,0.843574,-9.9548,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),RRM2,0.023008,0.865103,-9.7858,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),PFKFB1,0.028217,0.87722,-9.3416,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),SLC25A15,0.033167,0.87722,-9.0679,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),SLC6A3,0.038337,0.87722,-8.8369,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),SLC44A1,0.048716,0.87722,-7.4361,Depleted
Spost_vs_Rpost,Sensitive vs Resistant (Post),NAT2,0.005394,0.684334,2.2955,Enriched
Spost_vs_Rpost,Sensitive vs Resistant (Post),UPB1,0.035632,0.744319,0.30593,Enriched
Spost_vs_Rpost,Sensitive vs Resistant (Post),FADS6,0.035632,0.744319,0.30593,Enriched
Spost_vs_Rpost,Sensitive vs Resistant (Post),PIK3CB,0.035632,0.744319,0.30593,Enriched
Spost_vs_Rpost,Sensitive vs Resistant (Post),CYB5A,0.035632,0.744319,0.30593,Enriched
Spost_vs_Rpost,Sensitive vs Resistant (Post),SLC45A2,0.035632,0.744319,0.30593,Enriched
Spost_vs_Rpost,Sensitive vs Resistant (Post),RNLS,0.015214,0.715056,2.4252,Enriched
Spost_vs_Rpost,Sensitive vs Resistant (Post),ATP8A2,0.015214,0.715056,2.4252,Enriched
Spost_vs_Rpost,Sensitive vs Resistant (Post),ALOX15,0.0072801,0.684334,7.9974,Enriched
