sgRNA	Gene	R0_1	R0_2	R0_3	Rpost_1	Rpost_2	Rpost_3	Rpost_4	S0_1	S0_2	S0_3	Spost_1	Spost_2	Spost_3
INTERGENIC1346454	INTERGENIC	4705	0	0	0	0	0	0	0	0	0	0	0	0
sgPGAM5_1	PGAM5	20732	0	0	0	0	0	0	0	0	0	0	0	0
sgGUCY2D_6	GUCY2D	97603	0	1	0	0	0	0	0	0	0	0	0	0
sgKCNJ5_5	KCNJ5	27933	0	0	0	0	0	0	0	0	0	0	0	0
sgGGT1_3	GGT1	23329	0	1	0	0	0	0	0	0	0	0	0	0
sgSLC22A14_6	SLC22A14	12000	0	0	0	0	0	0	0	0	0	0	0	0
sgSLC9A1_4	SLC9A1	29947	0	0	0	0	1	0	0	0	0	0	0	0
sgAQP4_1	AQP4	111867	0	0	0	0	0	0	0	0	0	0	0	0
sgRDH5_3	RDH5	101329	0	0	0	0	0	0	0	0	0	0	0	0
sgSLC18A1_1	SLC18A1	134125	0	0	0	0	0	0	0	0	0	0	0	0
sgSLC7A5_3	SLC7A5	52799	0	0	0	0	0	0	0	0	0	0	0	0
sgSLC30A6_5	SLC30A6	93415	0	0	0	0	0	0	0	0	0	0	0	0
sgNDUFS4_10	NDUFS4	16759	0	0	1200	0	0	0	0	0	0	0	0	1
sgSLC10A7_10	SLC10A7	8758	0	0	0	0	1101	0	0	0	0	0	0	0
sgMOGAT2_9	MOGAT2	7375	0	0	12403	0	1	0	0	1	0	0	0	3
sgMMEL1_4	MMEL1	3505	0	0	0	0	0	0	0	0	0	0	0	0
sgACVR1C_7	ACVR1C	17326	0	0	0	0	0	0	0	0	0	0	0	0
sgATP5B_1	ATP5B	44895	0	0	0	0	0	0	0	0	0	0	0	0
sgKCTD9_6	KCTD9	39083	0	0	0	0	0	0	0	0	0	0	0	0
sgATP9A_8	ATP9A	29037	0	0	0	0	0	0	0	0	0	0	0	0
sgASIC5_5	ASIC5	16041	0	0	0	0	1	0	0	0	0	0	0	0
sgSLC39A14_3	SLC39A14	53018	0	0	0	0	0	0	1	0	0	0	0	0
sgCOX18_10	COX18	7013	0	0	0	0	0	0	0	0	0	0	0	0
sgNDUFA1_4	NDUFA1	15241	0	0	0	0	0	0	0	0	0	0	0	0
sgNAT10_10	NAT10	43889	0	0	0	0	1	0	0	0	0	0	0	0
sgKDM5C_3	KDM5C	13388	0	0	0	0	0	0	0	0	0	0	0	0
sgHSDL2_10	HSDL2	34826	0	0	0	0	0	0	0	0	0	0	0	0
sgGSTZ1_4	GSTZ1	7503	0	0	0	0	0	0	1	0	0	0	0	0
sgLYZL6_8	LYZL6	41065	0	0	0	0	1	0	0	0	0	0	0	0
sgKMO_7	KMO	29216	0	0	0	0	0	0	0	0	0	0	0	0
sgDHRSX_7	DHRSX	6756	0	5	0	0	0	0	0	0	0	0	0	0
sgSLC4A8_10	SLC4A8	2038	0	0	0	0	0	0	0	0	0	0	0	0
sgATP8B4_7	ATP8B4	611	0	0	0	0	0	0	0	0	0	0	0	0
sgSLC9C1_3	SLC9C1	4274	0	0	0	0	0	0	0	0	0	0	0	0
sgITGAV_8	ITGAV	83698	0	0	0	0	687	0	0	0	0	0	0	0
sgHSD11B1_5	HSD11B1	12856	103	0	0	0	0	0	0	0	0	0	0	0
sgCIDEC_6	CIDEC	25022	0	0	0	0	0	0	0	0	0	0	0	0
sgSLC28A3_7	SLC28A3	15531	0	0	0	0	0	0	0	0	0	0	0	0
sgCYP2W1_6	CYP2W1	11955	0	0	0	0	0	0	0	0	0	0	0	0
sgTGDS_10	TGDS	20643	0	0	0	0	0	0	0	0	0	0	0	0
sgNDUFB6_6	NDUFB6	8098	0	0	0	0	0	0	0	0	0	0	0	0
sgB4GALNT1_10	B4GALNT1	8270	0	0	0	0	0	0	0	0	0	0	0	0
sgPANK2_6	PANK2	3674	0	0	0	0	0	0	0	0	0	0	0	0
sgMTF1_2	MTF1	6106	27934	0	4544	0	1	11	0	0	0	0	0	3
sgPOR_8	POR	11998	0	0	0	0	0	0	0	0	0	0	0	0
sgKDM5C_5	KDM5C	15039	0	0	0	0	0	0	5	0	0	0	0	0
sgSLC8B1_1	SLC8B1	12505	0	0	0	0	0	0	97	0	0	0	0	0
sgAKR1D1_10	AKR1D1	25464	0	0	0	0	0	0	0	0	0	0	0	0
sgPIK3CD_6	PIK3CD	18589	0	0	0	0	0	0	0	0	0	0	0	0
sgGNMT_5	GNMT	14603	0	0	0	0	0	0	0	0	0	0	0	0
sgAPOC3_9	APOC3	8999	0	0	0	0	0	0	0	0	0	0	0	0
sgPLA2G12B_5	PLA2G12B	18845	0	0	0	0	0	0	0	0	0	0	0	0
sgGBA3_5	GBA3	31279	908	0	0	0	1	0	0	0	0	0	0	0
sgENGASE_2	ENGASE	1317	0	0	0	0	0	0	0	0	0	0	0	0
sgSLC25A43_10	SLC25A43	3594	0	0	0	0	0	0	1	0	0	0	0	0
sgLIPE_8	LIPE	474	0	0	0	0	0	0	0	0	0	0	0	0
sgSLC17A6_6	SLC17A6	4174	0	0	439	0	0	0	0	0	0	0	0	0
sgKCNMA1_2	KCNMA1	4469	0	0	0	0	0	0	0	0	0	0	0	0
sgST8SIA6_3	ST8SIA6	7373	0	0	0	0	0	0	0	0	0	0	0	0
sgRDH12_3	RDH12	6810	0	0	0	0	0	0	0	0	0	0	0	0
sgNDUFB2_4	NDUFB2	1938	0	0	0	0	0	0	0	0	0	0	0	0
sgUGT1A10_9	UGT1A10	2827	0	0	0	0	0	0	0	0	0	0	2	0
sgGLRA1_6	GLRA1	5758	0	0	0	0	0	0	0	0	0	0	0	0
sgAMY2A_2	AMY2A	5048	0	0	0	0	0	0	0	0	0	0	0	0
sgFRRS1_2	FRRS1	1558	0	0	0	0	0	0	0	0	0	0	0	0
sgPSAT1_6	PSAT1	128	0	0	0	0	0	0	0	0	0	0	0	0
sgSLC6A14_8	SLC6A14	903	0	0	124	0	0	1	0	0	0	0	0	1
sgNDUFB6_5	NDUFB6	76	0	0	0	0	0	0	0	0	0	0	0	0
sgTAP1_7	TAP1	345	0	0	0	0	0	0	0	0	0	0	0	0
sgLEPRE1_10	LEPRE1	222	0	0	0	0	0	0	0	0	0	0	223	0
sgMTR_9	MTR	2273	0	0	0	0	0	0	0	0	0	0	0	0
sgGRIK5_7	GRIK5	3951	0	0	0	0	0	0	0	0	0	0	0	0
sgGPX4_6	GPX4	463	0	0	0	0	0	0	0	0	0	0	0	0
sgAQP2_2	AQP2	3188	0	0	0	0	1087	0	0	0	0	0	0	0
sgSULT1C2_10	SULT1C2	3542	0	0	0	0	0	0	0	0	0	0	0	0
sgSLC35E3_6	SLC35E3	1371	0	0	0	0	0	0	0	0	0	0	0	0
sgKCNA3_2	KCNA3	220	0	0	0	0	207	0	0	0	0	0	0	0
sgSLC1A7_5	SLC1A7	5201	0	0	0	0	0	0	0	0	0	0	0	0
sgCCBL2_1	CCBL2	241	0	0	0	0	0	0	0	0	0	0	0	0
sgSLC8B1_9	SLC8B1	720	0	0	0	0	0	0	0	0	0	0	0	0
sgTGDS_2	TGDS	724	0	0	0	0	0	0	0	0	0	0	0	0
sgTPCN1_1	TPCN1	185	14087	0	0	0	14948	0	0	0	0	0	0	0
sgCNEP1R1_9	CNEP1R1	292	0	0	0	738	0	0	0	0	0	0	0	0
sgPRPS2_3	PRPS2	1	0	0	2420	0	1	0	0	0	0	0	0	0
sgGABRA6_5	GABRA6	29	0	0	0	0	0	0	0	0	0	0	0	0
sgPLIN3_8	PLIN3	23	0	0	0	0	0	0	0	0	0	0	0	0
sgLPIN2_4	LPIN2	272	0	0	0	0	0	0	0	0	0	0	0	0
sgFAR2_9	FAR2	3	0	0	38923	0	15	33	0	0	0	0	0	14
sgLYZL6_5	LYZL6	63	0	0	0	0	0	0	0	0	0	0	0	0
sgATP6V0D2_4	ATP6V0D2	23	0	0	0	0	0	0	0	0	0	0	0	0
sgB4GALT3_3	B4GALT3	13	0	0	0	0	0	0	0	0	0	0	0	0
sgALKBH4_5	ALKBH4	149	0	0	0	0	0	0	0	0	0	0	0	0
sgATP6V0A4_2	ATP6V0A4	21	0	0	0	0	0	0	0	0	0	0	0	0
sgTECR_7	TECR	1	0	0	2194	0	1	2	0	0	0	0	0	3
sgSULT1A1_4	SULT1A1	20	0	0	0	0	0	0	0	0	0	0	0	0
sgVDAC2_9	VDAC2	25	0	0	0	0	0	0	0	0	0	0	0	0
